Date,AAPL,Bitcoin,GOOGL,MSFT,VNINDEX,Average Total,Average (Bitcoin Excluded),,,
8/27/2021,0.0072,0.0477,0.0181,0.0021,0.0093,0.01688,0.009175,,,
8/26/2021,-0.0055,-0.0441,-0.0045,-0.0097,-0.0064,-0.01404,-0.006525,,,
8/25/2021,-0.0084,0.0268,0.0058,-0.002,0.0083,0.0061,0.000925,,,
8/24/2021,-0.0006,-0.0368,0.0087,-0.0067,-0.0001,-0.0071,0.000325,,,
8/23/2021,0.0103,0.0058,0.019,0.001,-0.023,0.00262,0.001825,,,
8/20/2021,0.0102,0.0549,0.0129,0.0256,-0.033,0.01412,0.003925,,,
8/19/2021,0.0023,0.0454,0.0017,0.0208,0.0102,0.01608,0.00875,,,
8/18/2021,-0.0255,0.0007,-0.0089,-0.008,-0.0016,-0.00866,-0.011,,,
8/17/2021,-0.0062,-0.0284,-0.0119,-0.0052,-0.0057,-0.01148,-0.00725,,,
8/16/2021,0.0135,-0.0212,0.0042,0.006,0.0103,0.00256,0.0085,,,
8/13/2021,0.0014,0.0767,0.0039,0.0105,0.003,0.0191,0.0047,,,
8/12/2021,0.0208,-0.0255,0.0067,0.01,-0.0035,0.0017,0.0085,,,
8/11/2021,0.0018,-0.0006,-0.0039,0.0018,-0.0034,-0.00086,-0.000925,,,
8/10/2021,-0.0034,-0.0149,-0.0008,-0.0066,0.0019,-0.00476,-0.002225,,,
8/9/2021,-0.0003,0.0569,0.0087,-0.0039,0.0137,0.01502,0.00455,,,
8/6/2021,-0.0063,0.0472,-0.0038,-0.0002,-0.003,0.00678,-0.003325,,,
8/5/2021,0.0007,0.0284,0.0083,0.0105,0.0081,0.0112,0.0069,,,
8/4/2021,-0.0028,0.0421,-0.0037,-0.0021,0.0017,0.00704,-0.001725,,,
8/3/2021,0.0126,-0.0265,0.0058,0.0081,0.0139,0.00278,0.0101,,,
8/2/2021,-0.0023,-0.0178,0.001,-0.0003,0.0032,-0.00324,0.0004,,,
7/30/2021,0.0015,0.055,-0.0077,-0.0055,0.0127,0.0112,0.00025,,,
7/28/2021,-0.0122,0.014,0.0318,-0.0011,0.0001,0.00652,0.00465,,,
7/27/2021,-0.0149,0.0584,-0.0159,-0.0087,0.0033,0.00444,-0.00905,,,
7/26/2021,0.0029,0.0533,0.0077,-0.0021,0.0031,0.01298,0.0029,,,
7/23/2021,0.012,0.0404,0.0358,0.0123,-0.0192,0.01626,0.010225,,,
7/22/2021,0.0096,0.0052,0.0068,0.0168,0.018,0.01128,0.0128,,,
7/21/2021,-0.0051,0.0785,0.0106,0.0074,-0.002,0.01788,0.002725,,,
7/20/2021,0.026,-0.0338,0.0131,0.0083,0.0239,0.0075,0.017825,,,
7/19/2021,-0.0269,-0.0298,-0.0188,-0.0133,-0.0429,-0.02634,-0.025475,,,
7/16/2021,-0.0141,-0.014,-0.0003,-0.001,0.0042,-0.00504,-0.0028,,,
7/15/2021,-0.0045,-0.0299,-0.0096,-0.0052,0.0109,-0.00766,-0.0021,,,
7/14/2021,0.0241,0.0028,0.007,0.0054,-0.0136,0.00514,0.005725,,,
7/13/2021,0.0079,-0.0116,0.0029,0.0132,0.001,0.00268,0.00625,,,
7/12/2021,-0.0042,-0.0326,0.0116,-0.0022,-0.0377,-0.01302,-0.008125,,,
7/9/2021,0.0131,0.0283,0.0038,0.0019,-0.02,0.00542,-0.0003,,,
7/8/2021,-0.0092,-0.0296,-0.0113,-0.009,-0.01,-0.01382,-0.009875,,,
7/7/2021,0.018,-0.0105,0.0023,0.0082,0.0249,0.00858,0.01335,,,
7/6/2021,0.0147,0.016,0.0074,0,-0.0399,-0.00036,-0.00445,,,
7/2/2021,0.0196,0.008,0.023,0.0223,0.0023,0.01504,0.0168,,,
7/1/2021,0.0023,-0.0423,0.0029,0.0026,0.0061,-0.00568,0.003475,,,
6/30/2021,0.0046,-0.0225,-0.0015,-0.0018,-0.0011,-0.00446,0.00005,,,
6/29/2021,0.0115,0.0394,-0.0022,0.01,0.003,0.01234,0.005575,,,
6/28/2021,0.0125,-0.0058,0.0002,0.014,0.0113,0.00644,0.0095,,,
6/25/2021,-0.0022,-0.0886,0.0001,-0.0063,0.0075,-0.0179,-0.000225,,,
6/24/2021,-0.0022,0.0294,0.0031,0.0053,0.0021,0.00754,0.002075,,,
6/23/2021,-0.0021,0.0362,-0.0017,-0.0009,-0.0022,0.00586,-0.001725,,,
6/22/2021,0.0127,0.0254,0.0043,0.011,0.0053,0.01174,0.008325,,,
6/21/2021,0.0141,-0.1097,0.0142,0.0123,-0.0037,-0.01456,0.009225,,,
6/18/2021,-0.0101,-0.0605,-0.0134,-0.0056,0.0131,-0.0153,-0.004,,,
6/17/2021,0.0126,-0.0074,0.008,0.0137,0.0025,0.00588,0.0092,,,
6/16/2021,0.0039,-0.0453,-0.0053,-0.0038,-0.0079,-0.01168,-0.003275,,,
6/15/2021,-0.0064,-0.0092,-0.0084,-0.0059,0.0041,-0.00516,-0.00415,,,
6/14/2021,0.0246,0.0386,0.0077,0.0078,0.0074,0.01722,0.011875,,,
6/11/2021,0.0098,0.0181,-0.002,0.0025,0.0213,0.00994,0.0079,,,
6/10/2021,-0.008,-0.0183,0.0113,0.0144,-0.007,-0.00152,0.002675,,,
6/9/2021,0.0031,0.1183,0.004,0.004,0.0099,0.02786,0.00525,,,
6/8/2021,0.0067,-0.0058,-0.0016,-0.0049,-0.0286,-0.00684,-0.0071,,,
6/7/2021,0.0001,-0.0625,0.0036,0.012,-0.0111,-0.01158,0.00115,,,
6/4/2021,0.019,-0.0596,0.0196,0.0207,0.0072,0.00138,0.016625,,,
6/3/2021,-0.0122,0.0434,-0.0097,-0.0064,0.0175,0.00652,-0.0027,,,
6/2/2021,0.0063,0.0237,-0.0044,-0.0004,0.0022,0.00548,0.000925,,,
6/1/2021,-0.0026,-0.0164,0.0103,-0.0091,0.0073,-0.0021,0.001475,,,
5/28/2021,-0.0053,-0.0717,-0.0025,0.0015,0.013,-0.013,0.001675,,,
5/27/2021,-0.0124,-0.0212,-0.0074,-0.0087,-0.01,-0.01194,-0.009625,,,
5/26/2021,-0.0004,0.0227,0.0074,-0.0009,0.0062,0.007,0.003075,,,
5/25/2021,-0.0016,-0.0096,0.0008,0.0037,0.0082,0.0003,0.002775,,,
5/24/2021,0.0133,0.1174,0.0292,0.0229,0.0109,0.03874,0.019075,,,
5/21/2021,-0.0148,-0.084,-0.0056,-0.0053,0.0045,-0.02104,-0.0053,,,
5/20/2021,0.021,0.1088,0.0156,0.0138,0.0125,0.03434,0.015725,,,
5/19/2021,-0.0013,-0.144,0.004,0.0002,0.0078,-0.02666,0.002675,,,
5/18/2021,-0.0112,-0.0148,-0.0116,-0.0086,-0.0048,-0.0102,-0.00905,,,
5/17/2021,-0.0093,-0.0621,0.0046,-0.012,-0.006,-0.01696,-0.005675,,,
5/14/2021,0.0198,0.0027,0.0221,0.0211,0.0035,0.01384,0.016625,,,
5/13/2021,0.0179,0.0065,0.0131,0.0169,-0.0056,0.00976,0.010575,,,
5/12/2021,-0.0249,-0.129,-0.0308,-0.0294,0.0104,-0.04074,-0.018675,,,
5/11/2021,-0.0074,0.0152,-0.0095,-0.0038,-0.0028,-0.00166,-0.005875,,,
5/10/2021,-0.0258,-0.041,-0.0256,-0.0209,0.0143,-0.0198,-0.0145,,,
5/7/2021,0.0036,0.0165,0.0062,0.0109,-0.007,0.00604,0.003425,,,
5/6/2021,0.0128,-0.018,0.0098,0.0132,-0.0047,0.00262,0.007775,,,
5/5/2021,0.002,0.0688,0.0034,-0.0053,0.0115,0.01608,0.0029,,,
5/4/2021,-0.0354,-0.06,-0.0155,-0.0162,0.0023,-0.02496,-0.0162,,,
4/29/2021,-0.0007,-0.0234,0.0143,-0.0081,0.008,-0.00198,0.003375,,,
4/28/2021,-0.006,-0.0035,0.0297,-0.0283,0.008,-0.00002,0.00085,,,
4/27/2021,-0.0024,0.0188,-0.0082,0.0016,0.0033,0.00262,-0.001425,,,
4/26/2021,0.003,0.1033,0.0043,0.0015,-0.0262,0.01718,-0.00435,,,
4/23/2021,0.018,-0.0113,0.021,0.0155,0.0169,0.01202,0.01785,,,
4/22/2021,-0.0117,-0.0388,-0.0113,-0.0131,-0.0319,-0.02136,-0.017,,,
4/20/2021,-0.0128,0.015,-0.0047,-0.0019,0.0061,0.00034,-0.003325,,,
4/19/2021,0.0051,-0.01,0.0031,-0.0077,0.0177,0.00164,0.00455,,,
4/16/2021,-0.0025,-0.029,-0.0011,0.0048,-0.0068,-0.00692,-0.0014,,,
4/15/2021,0.0187,0.0037,0.0193,0.0153,-0.0069,0.01002,0.0116,,,
4/14/2021,-0.0179,-0.0088,-0.0056,-0.0112,0.006,-0.0075,-0.007175,,,
4/13/2021,0.0243,0.0614,0.0044,0.0101,-0.0033,0.01938,0.008875,,,
4/12/2021,-0.0132,-0.0019,-0.0115,0.0002,0.0169,-0.0019,-0.0019,,,
4/9/2021,0.0202,0.0007,0.009,0.0103,-0.0026,0.00752,0.009225,,,
4/8/2021,0.0192,0.038,0.0051,0.0134,-0.006,0.01394,0.007925,,,
4/7/2021,0.0134,-0.0353,0.0135,0.0082,0.002,0.00036,0.009275,,,
4/6/2021,0.0025,-0.0169,-0.0044,-0.0049,0.0032,-0.0041,-0.0009,,,
4/5/2021,0.0236,0.0136,0.0419,0.0277,0.0095,0.02326,0.025675,,,
4/1/2021,0.007,-0.0008,0.0326,0.0279,0.0207,0.01748,0.02205,,,
3/31/2021,0.0188,-0.0001,0.0078,0.0169,0.0043,0.00954,0.01195,,,
3/30/2021,-0.0123,0.02,0.0003,-0.0144,0.0091,0.00054,-0.004325,,,
3/29/2021,0.0015,0.0332,0.0104,-0.0052,0.0116,0.0103,0.004575,,,
3/26/2021,0.0051,0.0724,-0.0038,0.0178,-0.0008,0.01814,0.004575,,,
3/25/2021,0.0042,-0.0192,0,-0.0133,0.0011,-0.00544,-0.002,,,
3/24/2021,-0.02,-0.0391,-0.0043,-0.0089,-0.0183,-0.01812,-0.012875,,,
3/23/2021,-0.0069,0.0054,0.0052,0.0067,-0.0092,0.00024,-0.00105,,,
3/22/2021,0.0283,-0.0562,0.0018,0.0245,0.0003,-0.00026,0.013725,,,
3/19/2021,-0.0045,0.0075,0.0028,-0.0016,-0.0057,-0.0003,-0.00225,,,
3/18/2021,-0.0339,-0.0213,-0.0292,-0.0267,0.0125,-0.01972,-0.019325,,,
3/17/2021,-0.0065,0.0356,-0.0008,-0.0028,0.0052,0.00614,-0.001225,,,
3/16/2021,0.0127,0.0197,0.0143,0.0124,-0.0039,0.01104,0.008875,,,
3/15/2021,0.0245,-0.0562,0.0022,-0.004,0.0025,-0.0062,0.0063,,,
3/12/2021,-0.0076,-0.0092,-0.0241,-0.0058,-0.0001,-0.00936,-0.0094,,,
3/11/2021,0.0165,0.0349,0.0316,0.0203,0.01,0.02266,0.0196,,,
3/10/2021,-0.0091,0.0177,-0.002,-0.0058,0.007,0.00156,-0.002475,,,
3/9/2021,0.0406,0.0491,0.0164,0.0281,-0.0054,0.02576,0.019925,,,
3/8/2021,-0.0417,0.0261,-0.0427,-0.0182,-0.0004,-0.01538,-0.02575,,,
3/5/2021,0.0107,0.0075,0.031,0.0215,0.0001,0.01416,0.015825,,,
3/4/2021,-0.0158,-0.039,0.0112,-0.0036,-0.0155,-0.01254,-0.005925,,,
3/3/2021,-0.0245,0.0407,-0.0257,-0.027,0.0003,-0.00724,-0.019225,,,
3/2/2021,-0.0209,-0.0236,-0.0025,-0.013,0.0004,-0.01192,-0.009,,,
3/1/2021,0.0539,0.0981,0.0236,0.0196,0.0151,0.04206,0.02805,,,
2/26/2021,0.0022,-0.0124,0.003,0.0148,0.0026,0.00204,0.00565,,,
2/25/2021,-0.0348,-0.0557,-0.0326,-0.0237,0.0029,-0.02878,-0.02205,,,
2/24/2021,-0.0041,0.0161,0.0115,0.0055,-0.0133,0.00314,-0.0001,,,
2/23/2021,-0.0011,-0.0961,0.0029,-0.0053,0.0022,-0.01948,-0.000325,,,
2/22/2021,-0.0298,-0.0578,-0.0165,-0.0268,0.0013,-0.02592,-0.01795,,,
2/19/2021,0.0012,0.0838,-0.0081,-0.0116,-0.0007,0.01292,-0.0048,,,
2/18/2021,-0.0086,-0.0095,-0.006,-0.0017,0.0161,-0.00194,-5.00E-05,,,
2/17/2021,-0.0176,0.0592,0.0038,0.0021,0.0366,0.01682,0.006225,,,
2/9/2021,-0.0066,0.0024,-0.0044,0.0054,0.0293,0.00522,0.005925,,,
2/8/2021,0.0011,0.1941,-0.0021,0.0011,-0.0388,0.03108,-0.009675,,,
2/5/2021,-0.0046,0.0356,0.0171,0.0008,0.0132,0.01242,0.006625,,,
2/4/2021,0.0258,-0.0177,-0.0025,-0.0041,0.0008,0.00046,0.005,,,
2/3/2021,-0.0078,0.0609,0.0728,0.0146,0.0332,0.03474,0.0282,,,
2/2/2021,0.0063,0.0588,0.0138,-0.0006,0.0386,0.02338,0.014525,,,
2/1/2021,0.0165,0.0123,0.036,0.0332,-0.02,0.0156,0.016425,,,
1/29/2021,-0.0374,0.0278,-0.0139,-0.0292,0.0319,-0.00416,-0.01215,,,
1/28/2021,-0.035,0.0977,0.0188,0.0259,-0.0667,0.00814,-0.01425,,,
1/27/2021,-0.0077,-0.0646,-0.0467,0.0025,-0.0343,-0.03016,-0.02155,,,
1/26/2021,0.0017,0.0077,0.0072,0.0122,-0.0257,0.00062,-0.00115,,,
1/25/2021,0.0277,0.0003,0.0009,0.0158,-0.0006,0.00882,0.01095,,,
1/22/2021,0.0161,0.07,0.0045,0.0044,0.0022,0.01944,0.0068,,,
1/21/2021,0.0367,-0.1306,0.0022,0.0028,0.026,-0.01258,0.016925,,,
1/20/2021,0.0329,-0.0146,0.0536,0.0365,0.0033,0.02234,0.031575,,,
1/19/2021,0.0054,-0.0167,0.0329,0.0178,-0.0511,-0.00234,0.00125,,,
1/15/2021,-0.0137,-0.0595,-0.0019,-0.0017,0.0057,-0.01422,-0.0029,,,
1/14/2021,-0.0151,0.048,-0.0093,-0.0153,0.0011,0.00188,-0.00965,,,
1/13/2021,0.0162,0.097,0.0057,0.0066,-0.0052,0.02406,0.005825,,,
1/12/2021,-0.0014,-0.0413,-0.0107,-0.0118,0.0062,-0.0118,-0.004425,,,
1/11/2021,-0.0232,-0.0693,-0.0231,-0.0097,0.0147,-0.02212,-0.010325,,,
